,Word,Reading,Meaning
19817,倭冦,わこう,Japanese pirates (of the Middle Ages)
19818,倭歌,わか,"waka (classic Japanese poem, esp. a tanka, often 31 mora)"
19819,倭語,わご,native Japanese words (especially as opposed to Chinese and other foreign loanwords)
19820,倭訓,わくん,Japanese reading of a Chinese character
19821,倭名鈔,わみょうしょう,Wamyoruijusho (famous Heian-period Japanese dictionary)
19822,倭名類聚鈔,わみょうるいじゅしょう,Wamyoruijusho (famous Heian-period Japanese dictionary)
19823,畝,せ,"se (Japanese unit of area equal to 30 tsubo, ~99.174 m.sq.)"
19824,畝,うね,"ridge, rib"
19825,畝,ほ,"mu (Chinese measure of land area, formerly ~600 m.sq., currently ~667 m.sq.)"
19826,畝ねる,うねる,"to undulate, to meander, to surge, to swell, to roll, to wind"
19827,畝間,うねま,"furrow, room with ridged roof"
19828,畝溝,うねみぞ,furrow ridges
19829,畝織,うねおり,"ridged fabric, corduroy"
19830,畝立て,うねだて,building rice-field ridges
19831,田畝,"たんぼ, でんぽ","paddy field, farm"
19832,畝織り,うねおり,"ribbed fabric, corded fabric"
19833,抄,しょう,"excerpt, extract; annotation; shou (unit of volume, approx. 1.8 ml)"
19834,抄本,しょうほん,"excerpt, abridgment, book of selections"
19835,抄録,しょうろく,"quotation, abstract, selection, summary"
19836,抄く,すく,"to make something (i.e. paper) from wet, pulpy material by spreading it thin and drying it"
19837,詩抄,ししょう,anthology
19838,抄訳,しょうやく,abridged translation
19839,抄出,しょうしゅつ,"taking excerpts, extraction"
19840,戸籍抄本,こせきしょうほん,official copy of part of family register
19841,抄物,"しょうもの, しょうもつ",Muromachi-period texts or annotations of texts used in Zen lectures; extracting from or excerpting (a classic)
19842,史記抄,しきしょう,commentary on Shiki
19843,有斐閣,ゆうひかく,Yuuhikaku (law book publisher)
19844,甲斐,かい,"effect, result, worth, use, avail"
19845,甲斐甲斐しい,かいがいしい,"gallant, heroic, brave"
19846,甲斐性,かいしょう,"resourcefulness, ability"
19847,甲斐無し,かいなし,"worthless, useless, hopeless"
19848,生き甲斐,いきがい,"something one lives for, purpose in life, raison d'etre"
19849,年甲斐も無い,としがいもない,"unbecoming, unsuitable, wrong for one's age, disgraceful"
19850,年甲斐もない,としがいもない,"unbecoming, unsuitable, wrong for one's age, disgraceful"
19851,友達甲斐,ともだちがい,true friendship
19852,腑甲斐無い,ふがいない,"disappointing, weak-minded, spiritless, cowardly, worthless, pusillanimous, feckless, faint-hearted, shiftless, tame, timid"
19853,魁,さきがけ,"charging ahead of others, the first to charge, pioneer, forerunner, harbinger"
19854,魁偉,かいい,"brawny, muscular, impressive, gigantic"
19855,巨魁,きょかい,"ringleader, chief"
19856,渠魁,きょかい,"ringleader, chief"
19857,首魁,しゅかい,"forerunner, ringleader"
19858,花魁,おいらん,"courtesan, prostitute"
19859,花魁道中,おいらんどうちゅう,procession of courtesans
19860,容貌魁偉,ようぼうかいい,(a man) having a commanding face and a powerful physique
19861,惰性,だせい,"inertia, habit, momentum"
19863,勤惰,きんだ,"diligence and indolence, attendance"
19864,惰力,だりょく,"inertia, momentum; force of habit"
19865,惰気,だき,"indolence, listlessness"
19866,惰眠,だみん,"indolence, inactivity"
19867,惰弱,だじゃく,"enervated, effete, effeminate"
19868,遊惰,ゆうだ,indolence
19869,懶惰,"らんだ, らいだ","lazy, idle"
19870,嬾惰,"らんだ, らいだ","lazy, idle"
19871,虹,にじ,rainbow
19872,主虹,しゅにじ,primary rainbow
19873,虹彩,こうさい,iris (of the eye)
19874,虹色,にじいろ,"rainbow-colored, rainbow-coloured"
19875,副虹,ふくにじ,secondary rainbow
19876,虹霓,こうげい,literary rainbow
19877,白虹,はっこう,white rainbow
19878,虹鱒,"にじます, ニジマス",rainbow trout (Salmo gairdneri)
19879,虹彩異色症,こうさいいしょくしょう,"heterochromia iridis, eyes differing in colour (color)"
19880,鴻,"ひしくい, ヒシクイ",bean goose (Anser fabalis)
19881,燕雀鴻鵠,えんじゃくこうこく,"How can a small bird (a sparrow, a petty person) understand the aspirations of a great bird (a phoenix), Only a hero can understand a hero"
19882,野蛮,やばん,"savage, uncivilized, uncivilised"
19883,蛮行,ばんこう,"act of barbarity, brutality, barbarism"
19884,南蛮,なんばん,"southern barbarians (formerly used by the Chinese to refer to non-ethnic Chinese to the south); South-East Asia; Western Europe (esp. Spain and Portugal, their South-East Asian colonies, and their goods and people arriving in Japan via the colonies); exotic (esp. Western European or South-East Asian style); (in dance, puppetry, etc.) thrusting the right foot and right arm forward at the same time (or left foot and left arm); food prepared using chili peppers or Welsh onions"
19885,蛮勇,ばんゆう,"foolhardiness, recklessness, savage valour, savage valor, brute courage"
19886,蛮カラ,"ばんから, ばんカラ","scruffy, unconcerned about one's personal appearance; rough and uncouth vigor (vigour)"
19887,南蛮人,なんばんじん,"southern barbarian (used to describe Western Europeans who visited Japan prior to the Edo period, esp. the Spanish and the Portuguese)"
19888,南蛮船,なんばんせん,foreign ship (esp. of Spanish and Portuguese ships arriving from the south prior to the Edo period)
19889,蛮境,ばんきょう,land of the barbarians
19890,蛮襟,"ばんから, ばんカラ","scruffy, unconcerned about one's personal appearance; rough and uncouth vigor (vigour)"
19891,蛮語,ばんご,language of the barbarians
19892,に於いて,において,"in, on, at (place), as for, regarding"
19893,に於ける,における,"in, at, on, as for, regarding, with regards to"
19894,於いて,おいて,"at, in, on"
19895,於ける,おける,"in, at"
19896,於乎,"ああ, アー","Ah!, Oh!, Alas!; Yes, Indeed, That is correct; Hey!, Yo!; Uh huh, Yeah yeah, Right, Gotcha"
19897,於戯,"ああ, アー","Ah!, Oh!, Alas!; Yes, Indeed, That is correct; Hey!, Yo!; Uh huh, Yeah yeah, Right, Gotcha"
19898,全てに於て勝る,すべてにおいてまさる,to excel in every respect
19899,正義の名に於て,せいぎのなにおいて,in the name of justice
19900,己所不欲勿施於人,おのれのほっせざるところひとにほどこすことなかれ,don't do unto others what you would not have done unto you
19901,此処に於て,ここにおいて,"now, at this time; as such, for this reason, hence"
19902,赳赳たる武夫,きゅうきゅうたるぶふ,soldier of dauntless courage
19903,葵,あおい,hollyhock
19904,葵祭,あおいまつり,hollyhock festival
19905,菟葵,"いそぎんちゃく, イソギンチャク",sea anemone
19906,向日葵,ひまわり,"sunflower, Helianthus annuus"
19907,山葵,わさび,wasabi (Japanese horseradish)
19908,立葵,たちあおい,"hollyhock, Alcea rosea, Althaea rosea"
19909,立ち葵,たちあおい,"hollyhock, Alcea rosea, Althaea rosea"
19910,山葵漬け,わさびづけ,pickled Japanese horseradish
19911,花葵,はなあおい,hollyhock
19912,天竺葵,てんじくあおい,geranium
19913,壱,いち,one (used in legal documents)
19914,金壱万円,きんいちまんえん,"10,000 Yen"
19915,壱万円,いちまんえん,"10,000 Yen"
19916,壱越,いちこつ,(in Japan) 1st note of the ancient chromatic scale (approx. D)
19917,壱越調,"いちこつちょう, いちこちちょう",(in gagaku) scale similar to Mixolydian mode on D
19918,元禄,げんろく,Genroku era (1688.9.30-1704.3.13)
19919,加禄,かろく,increase in a samurai's stipend
19920,貫禄,かんろく,"presence, dignity"
19921,微禄,びろく,small stipend
19922,俸禄,ほうろく,"retainer's stipend, official pay, salary"
19923,余禄,よろく,additional gain
19924,家禄,かろく,(historical) hereditary stipend
19925,小禄,しょうろく,small stipend
19926,高禄,こうろく,high salary
19927,禄高,ろくだか,(amount of a samurai's) stipend
19928,孟子,もうし,Mencius (Meng Zi) (371-289BCE); the Discourses of Mencius - one of the Four Books
19929,孔孟,こうもう,Confucius and Mencius
19930,孔孟の教え,こうもうのおしえ,the teachings of Confucius and Mencius
19931,孟夏,もうか,beginning of summer; fourth month of the lunar calendar
19932,孟春,もうしゅん,beginning of spring; first month of the lunar calendar
19933,孟女,もうじょ,eldest daughter
19934,論孟,ろんもう,The Confucian Analects and the Discourses of Mencius
19935,孟母三遷,もうぼさんせん,"the importance of creating an environment conducive to a child's learning (lit: Mencius' mother, three moves)"
19936,孟秋,もうしゅう,beginning of autumn; seventh month of the lunar calendar
19937,孟冬,もうとう,beginning of winter; tenth month of the lunar calendar
19938,侯,こう,"marquis, lord, daimyo"
19939,侯爵,こうしゃく,"marquis, marquess"
19940,王侯,おうこう,"king and princes, noble rank"
19941,侯国,こうこく,principality
19942,侯爵夫人,こうしゃくふじん,marchioness
19944,公侯,こうこう,"princes and marquises, great feudal lords"
19945,三百諸侯,さんびゃくしょこう,all the daimyos
19946,諸侯,しょこう,"princes, lords"
19947,藩侯,はんこう,"feudal lord, daimyo"
19948,尭尭,ぎょうぎょう,high (as of a mountain)
19949,尭々,ぎょうぎょう,high (as of a mountain)
19950,巳,み,"sixth sign of Chinese zodiac (The Serpent, 9am-11am, south-southeast, April)"
19951,巳年,"みどし, へびどし",year of the snake
19953,己巳,きし,sixth of the sexagenary cycle
19954,上巳,じょうし,March 3rd of the lunar calendar (one of the five annual festivals)
19955,初巳,はつみ,first Serpent day of the year
19956,巳の日の祓,みのひのはらえ,purification ceremony held on the first day of the snake in the third month of the lunar calendar
19957,弧,こ,arc
19958,円弧,えんこ,arc
19959,右小括弧,みぎしょうかっこ,closing parenthesis
19960,右中括弧,みぎちゅうかっこ,closing brace
19961,括弧,かっこ,"parenthesis, brackets"
19962,丸括弧,まるがっこ,"parentheses, round parentheses"
19963,弧城,こじょう,"solitary castle, isolated castle"
19965,弧光,ここう,arc light
19966,弧状,こじょう,in form of arch
19967,流暢,りゅうちょう,"fluent (language skill), flowing"
19968,伸暢,しんちょう,"expansion, extension, elongation, stretching, uncompression"
19969,暢気,のんき,"carefree, optimistic, careless, reckless, heedless, happy-go-lucky, easygoing"
19970,暢達,ちょうたつ,"fluency, facileness"
19971,芹,せり,"dropwort, Japanese parsley"
19972,杏,あんず,"apricot, Prunus armenica, apricot tree"
19973,杏林,きょうりん,apricot grove
19974,杏ジャム,あんずジャム,apricot jam
19976,杏茸,あんずたけ,chanterelle mushroom (Cantharellus cibarius)
19977,銀杏,"いちょう, イチョウ, ぎんなん","ginkgo (gingko) tree, maidenhair tree, Ginkgo biloba; nut of the ginkgo (gingko) tree"
19979,杏子,あんず,"apricot, Prunus armenica, apricot tree"
19980,牡丹杏,ぼたんきょう,variety of plum
19981,大銀杏髷,おおいちょうまげ,ginkgo-leaf top-knot worn by makuuchi and juryo division sumo wrestlers
19982,鳳凰,ほうおう,"mythical Firebird Goddess (sometimes erroneously associated with 'phoenix'), female Hinotori"
19983,鳳,おおとり,feng (male Chinese phoenix)
19984,鳳,おおとり,"large bird; kun (in Chinese mythology, giant bird said to be able to turn into a fish); fenghuang (Chinese phoenix)"
19985,鳳駕,ほうが,imperial carriage
19986,鳳声,ほうせい,verbal message
19987,鳳翅鐘,ほうしとう,wing-rings (weapon)
19988,鳳輦,ほうれん,imperial carriage
19990,金鳳花,きんぽうげ,a buttercup
19991,鳳蝶,"あげはちょう, アゲハチョウ","swallowtail butterfly (esp. the citrus swallowtail butterfly, Papilio xuthus)"
19992,馨しい,かんばしい,"sweet, fragrant, aromatic"
19993,馨り,かおり,"aroma, fragrance, scent, smell"
19994,馨しい,かぐわしい,"sweet-smelling, scentful, fragrant"
19995,馨香,けいこう,"fragrance, perfume, aroma; honor, honour, fame"
19996,素馨,"そけい, ソケイ",Spanish jasmine (Jasminum grandiflorum)
19997,黄素馨,きそけい,"Jasminum umile var. revolutum, curled flower yellow jasmine"
19998,慧眼,けいがん,"discerning (quick) eye, keen insight"
20001,入れ智慧,いれちえ,"suggestion, hint"
20002,慧敏,けいびん,"clever, of quick intellect"
20003,慧眼,えげん,the wisdom eye
20004,附する,ふする,"to affix, to append, to attach; to entrust, to refer, to handle (as such); to follow (the leader); to submit (a document, etc.)"
20005,附ける,つける,"to attach, to join, to add, to append, to affix, to stick, to glue, to fasten, to sew on, to apply (ointment); to furnish (a house with); to wear, to put on; to keep a diary, to make an entry; to appraise, to set (a price); to bring alongside; to place (under guard or doctor); to follow, to shadow; to load, to give (courage to); to keep (an eye on); to establish (relations or understanding); to turn on (light)"
20006,附す,ふす,"to affix, to append, to attach; to entrust, to refer, to handle (as such); to follow (the leader); to submit (a document, etc.)"
20007,添附,てんぷ,"attachment, appendage, annex, annexure"
20008,日附,ひづけ,"date, dating"
20009,附議,ふぎ,"bringing up a matter, discussion, debate, submission (e.g. a measure), referral (e.g. bill to a committee), placing (e.g. item on a agenda)"
20010,附近,ふきん,"neighbourhood, neighborhood, vicinity, environs; approaching"
20011,附図,ふず,"attached map, plan, diagram or chart"
20012,附随,ふずい,"incident to, attaching to, annexed to, concomitant, attending"
20013,附帯,ふたい,"incidental, ancillary, accessory, secondary, collateral"
20014,文質彬彬,ぶんしつひんぴん,"refined, handsome and solid in character"
20015,彬蔚,ひんうつ,"erudite and refined, handsome"
20016,匡正,きょうせい,"reform, correction, training"
20017,匡救,きょうきゅう,"delivering from sin, succor, succour"
20018,但,ただ,"ordinary, common, usual; free of charge; unaffected, as is, safe; only, merely, just, simply; but, however, nevertheless"
20019,但し,ただし,"but, however, provided that"
20020,但し付き,"ただしづき, ただしつき",conditional
20021,但し書き,ただしがき,proviso
20022,但書き,ただしがき,proviso
20023,但書,ただしがき,proviso
20024,播但線,ばんたんせん,Bantan Line (railway in Hyogo Prefecture)
20025,眉,"まゆ, まみえ","eyebrow, eyebrows"
20027,眉をひそめる,まゆをひそめる,"to frown, to scowl"
20028,引き眉,ひきまゆ,painted eyebrows
20029,引眉,ひきまゆ,painted eyebrows
20030,作り眉,つくりまゆ,painted eyebrows
20031,眉宇,びう,"brow, brows"
20032,眉間,みけん,"brow, glabella, middle forehead, area between the eyebrows"
20033,眉尻,まゆじり,end of an eyebrow
20034,眉雪,びせつ,snow-white eyebrows
20035,欽定,きんてい,"authorized, authorised, appointed"
20037,欽定憲法,きんていけんぽう,constitution granted by the Emperor
20038,芋,いも,"tuber, taro, potato; yokel, bumpkin"
20039,じゃが芋,"じゃがいも, ジャガいも, ジャガイモ, ばれいしょ",potato (Solanum tuberosum)
20040,ジャガ芋,"じゃがいも, ジャガいも, ジャガイモ, ばれいしょ",potato (Solanum tuberosum)
20041,とろろ芋,とろろいも,yam
20042,タロ芋,タロいも,taro
20043,ジャガタラ芋,"ジャガタラいも, ジャガタライモ",potato (Solanum tuberosum) (lit: Jakarta potato)
20044,かが芋,"ががいも, ガガイモ",rough potato (Metaplexis japonica)
20045,芋掘り,いもほり,potato field (furrows)
20047,芋虫,いもむし,"hornworm (caterpillar of a hawk moth), (hairless) caterpillar"
20049,綜覧,そうらん,"guide, general survey, conspectus, comprehensive bibliography"
20050,綜麻繰,へそくり,"secret savings, stash"
20051,綜合,そうごう,"synthesis, coordination, putting together, integration, composite; comprehensive"
20052,赤翡翠,"あかしょうびん, アカショウビン",ruddy kingfisher (Halcyon coromanda)
20053,翡翠,"かわせみ, ひすい, しょうびん, カワセミ","kingfisher (esp. the common kingfisher, Alcedo atthis); jade"
20054,翠色,"みどりいろ, りょくしょく, すいしょく","green, emerald green, green color of new foliage, verdure"
20055,翡翠色,ひすいいろ,jade green
20056,翠玉,すいぎょく,"emerald, jade"
20058,笑い翡翠,"わらいかわせみ, ワライカワセミ",laughing kookaburra (Dacelo novaeguineae)
20059,笑翡翠,"わらいかわせみ, ワライカワセミ",laughing kookaburra (Dacelo novaeguineae)
20060,山翡翠,"やませみ, ヤマセミ",crested kingfisher (Megaceryle lugubris)
20061,鮎,"あゆ, こうぎょ, ねんぎょ, あい",sweetfish (Plecoglossus altivelis altivelis); salmon
20062,鮎魚女,"あいなめ, アイナメ",Hexagrammos otakii (species of greenling)
20063,鮎並,"あいなめ, アイナメ",Hexagrammos otakii (species of greenling)
20064,鮎並女,"あいなめ, アイナメ",Hexagrammos otakii (species of greenling)
20065,落ち鮎,おちあゆ,sweetfish going downstream to spawn
20066,稚鮎,ちあゆ,young ayu
20067,若鮎,"わかあゆ, わかゆ",young (healthy & energetic) sweetfish
20068,榛,"ハシバミ, はしばみ","corylus heterophylla var. thunbergii, siberian hazel, siberian filber"
20069,榛の木,"はんのき, ハンノキ",Japanese alder (Alnus japonica)
20070,西洋榛,"せいようはしばみ, セイヨウハシバミ","hazel, corylus avellana"
20071,角榛,"つのはしばみ, ツノハシバミ","Japanese hazel, corylus sieboldiana"
20072,夜糞峰榛,"よぐそみねばり, ヨグソミネバリ",Japanese cherry birch (Betula grossa)
20073,艶,つや,"gloss, glaze"
20074,艶,えん,"charming, fascinating, voluptuous"
20075,妖艶,ようえん,"fascinating, voluptuous"
20076,艶めかしい,なまめかしい,"charming, captivating"
20077,艶かしい,なまめかしい,"charming, captivating"
20078,艶めく,つやめく,"(for an object) to be shiny; (for a woman) to be alluring, to look sexy"
20079,艶やか,"つややか, あでやか","glossy, beautiful, bewitching, fascinatingly elegant"
20080,艶っぽい,つやっぽい,"romantic, spicy, coquettish"
20081,艶歌,えんか,troubadour
20082,艶事,つやごと,"love affair, romance"
20083,婆,"ばば, ばばあ","old woman; old maid (undesirable card in the card game of the same name); hag, bitch"
20084,老婆,ろうば,old woman
20085,お婆さん,おばあさん,grandmother; female senior-citizen
20086,お婆はる,おばはる,to shamelessly demand one's rights
20087,お婆ん,おばん,"old maid, frump, hag"
20088,婆あ,"ばば, ばばあ","old woman; old maid (undesirable card in the card game of the same name); hag, bitch"
20089,婆さん,ばあさん,grandmother; female senior citizen
20090,婆や,ばあや,"wet nurse, old housekeeper"
20091,お婆ちゃん,おばあちゃん,"granny, grandma, gran, female senior-citizen (familiar form of address)"
20092,御婆さん,おばあさん,grandmother; female senior-citizen
20093,惣菜,そうざい,"side dish, daily (household) dish"
20094,惣社,そうじゃ,shrine enshrining several gods
20095,惣嫁,そうか,(Edo period) streetwalker
20096,惣領,そうりょう,"government, administration (fief)"
20097,惣管領,そうかんりょう,(hist.) governor-general
20098,助惣鱈,"すけそうだら, スケソウダラ","walleye pollack, Alaska pollack (Theragra chalcogramma)"
20099,蔦,つた,"ivy (esp. Boston ivy, Parthenocissus tricuspidata)"
20100,蔦蔓,つたかずら,"ivy and vines, creepers"
20101,蔦蘿,つたかずら,"ivy and vines, creepers"
20102,蔦葛,つたかずら,"ivy and vines, creepers"
20103,木蔦,きづた,"kind of ivy, Hedera rhombea"
20104,蔦紅葉,つたもみじ,"maple, scarlet-tinged ivy"
20105,蔦漆,"つたうるし, ツタウルシ","poison ivy, rhus ambigua"
20106,黒木蔦,"くろきづた, クロキヅタ",Caulerpa scalpelliformis (species of green alga)
20107,隼,"はやぶさ, ハヤブサ","falcon (esp. the peregrine falcon, Falco peregrinus)"
20108,大隼,おおはやぶさ,gerfalcon
20109,隼科,はやぶさか,Falconidae family (birds of prey)
20110,鷹隼,ようしゅん,hawk and falcon
20111,稚児隼,"ちごはやぶさ, チゴハヤブサ","northern hobby (species of falcon, Falco subbuteo)"
20112,渚,なぎさ,"water's edge, beach, shore"
20114,汀渚,ていしょ,"sand bar, waters edge"
20115,渚伝い,なぎさづたい,along the shore
20116,模倣,もほう,"imitation, copying"
20117,倣う,ならう,"to imitate, to follow, to emulate"
20118,先例に倣う,せんれいにならう,to follow precedent
20119,摸倣,もほう,"imitation, copying"
20120,模倣者,もほうしゃ,imitator
20121,前例に倣う,ぜんれいにならう,to follow (copy after) a precedent
20122,稀,まれ,"rare, seldom"
20123,稀釈,きしゃく,dilution
20124,稀硫酸,きりゅうさん,"dilute sulfuric acid, dilute sulphuric acid"
20125,稀少,きしょう,"scarce, rare"
20126,稀世,きせい,"rare, uncommon"
20127,稀書,きしょ,rare book
20128,稀薄,きはく,"thin (e.g. air), lean, rarified, diluted, sparse, weak, rarefied"
20129,古稀,こき,age seventy
20130,類稀,たぐいまれ,"unique, rare, exceptional, unparalleled, incomparable"
20131,類い稀,たぐいまれ,"unique, rare, exceptional, unparalleled, incomparable"
20132,芙蓉,ふよう,"cotton rose, Hibiscus mutabilis, Confederate rose; lotus blossom"
20133,芙蓉峰,ふようほう,Mt Fuji (lotus-shaped mountain)
20134,酔芙蓉,すいふよう,"cotton rosemallow (Hibiscus mutabilis cv. Versicolor), Confederate rose"
20135,皐月,さつき,fifth month of the lunar calendar; satsuki azalea (Rhododendron indicum)
20136,雛,"ひよこ, ひな","young bird, chick; doll; green, wet behind the ears, juvenile"
20137,育雛器,いくすうき,breeder
20138,雛鑑別者,ひなかんべつしゃ,chicken sexer
20139,雛型,ひながた,"model, miniature, pattern; sample, specimen; prescribed form"
20140,雛形,ひながた,"model, miniature, pattern; sample, specimen; prescribed form"
20141,雛祭,ひなまつり,Girls' (dolls') Festival (March 3rd)
20142,雛祭り,ひなまつり,Girls' (dolls') Festival (March 3rd)
20143,雛人形,ひなにんぎょう,doll
20144,雛罌粟,ひなげし,"red poppy, Papaver rhoeas, common poppy"
20145,巣雛,すひな,nestling
20146,惟,これ,"this (indicating an item near the speaker, the action of the speaker, or the current topic); this person (usu. indicating someone in one's in-group); now; here; I (me); certainly"
20147,惟うに,おもうに,"presumably, conceivably, in my opinion, in my view, I think (that), upon thought, upon reflection"
20148,思惟,しい,"thought, thinking, speculation"
20149,惟神,"かんながら, かむながら, かみながら",as a god; as was done in the age of the gods
20150,惟神の道,"かんながらのみち, かむながらのみち",the way of the gods
20151,半跏思惟像,はんかしいぞう,Buddhist statue of a figure sitting contemplatively in the half-lotus position (often of Maitreya)
20152,佑ける,たすける,"to help, to save, to rescue, to give relief to, to spare (life), to reinforce, to promote, to abet"
20153,天佑神助,てんゆうしんじょ,"divine grace, God's help"
20154,佑助,ゆうじょ,assistance
20155,天佑,てんゆう,"divine aid, divine grace, providential help"
20156,神佑,しんゆう,"heavenly protection, divine help"
20157,倹約,けんやく,"thrift, economy, frugality"
20158,倹,けん,economy
20159,倹しい,つましい,"thrifty, economical"
20160,勤倹,きんけん,"industry, diligence, frugality"
20161,倹しく暮し,つましくくらし,living frugally
20162,倹素,けんそ,economical and simple
20163,倹約家,けんやくか,"thrifty person, economist"
20164,節倹,せっけん,"economy, thrift"
20166,倹吝,けんりん,"miserly, stingy"
20167,耀く,かがやく,"to shine, to glitter, to sparkle"
20168,栄耀,えいよう,"luxury, splendour, splendor, prosperity"
20169,衒耀,げんよう,false glitter
20170,栄耀栄華,"えいようえいが, えようえいが","wealth, prosperity, and arrogant splendor (splendour), (living sumptuously) intoxicated by wealth and power, luxury"
20171,黛,まゆずみ,"blackened eyebrows, eyebrow pencil"
20172,黛青,たいせい,blackish blue
20173,渥地,あくち,marshland
20174,優渥,ゆうあく,gracious
20175,渥然,あくぜん,glossy
20176,憧れ,あこがれ,"yearning, longing, aspiration"
20177,憧れる,あこがれる,"to long for, to yearn after, to admire, to be attracted by"
20178,憧憬,"しょうけい, どうけい","longing, aspiration"
20179,憧憬れる,あこがれる,"to long for, to yearn after, to admire, to be attracted by"
20180,憧れの的,あこがれのまと,"object of adoration, longing"
20182,惇樸,とんぼく,"honest and homely, simple"
20183,惇厚,とんこう,"sincerity and kindheartedness, honesty and simplicity"
20184,惇睦,とんぼく,"cordial and friendly, affectionate"
20185,束脩,そくしゅう,"bundle of dried meat, present to a teacher, registration fee"
20186,脩竹,しゅうちく,tall bamboo
20187,繭,まゆ,cocoon
20188,繭をかける,まゆをかける,to spin a cocoon
20189,収繭,しゅうけん,cocoon crop
20190,二つ繭,ふたつまゆ,double cocoon
20191,繭を掛ける,まゆをかける,to spin a cocoon
20192,繭価,"まゆか, けんか",price of a cocoon
20193,繭玉,まゆだま,New Year's decoration with cocoon-shaped cakes
20194,繭紬,けんちゅう,pongee (unbleached silk)
20195,繭糸,"けんし, きぬいと",silk thread
20196,春繭,はるまゆ,spring cocoon crop
20197,甫めて,はじめて,"for the first time; only after ... is it ..., only when ... do you ..."
20198,年甫,ねんぽ,beginning of the year
20199,新甫,しんぽ,new futures on the first trading session of the month
20200,尼甫,じほ,Confucius
20201,台甫,たいほ,your personal name
20202,謁する,えっする,to have an audience with
20203,謁す,えっす,to have an audience with
20204,謁見,えっけん,audience (with someone)
20205,内謁,ないえつ,private audience
20206,拝謁,はいえつ,having an audience with someone of very high social standing (e.g. the emperor)
20207,請謁,せいえつ,"beseeching, requesting (an audience)"
20208,謁を賜わる,えつをたまわる,to be granted an audience
20209,箇,こ,counter for articles; counter for military units; individual
20210,箇,"か, カ","counter for the ichi-ni-san counting system (usu. directly preceding the item being counted), a noun read using its on-yomi"
20211,箇,"つ, ち, ぢ, じ","counter for the hito-futa-mi counting system (forming hitotsu, futatsu, mitsu, and misoji, yasoji, etc.)"
20212,一箇年,いっかねん,one year
20213,一箇,いっこ,"piece, fragment, one (object)"
20214,何箇月,なんかげつ,"how many months?, how long?"
20215,箇月,かげつ,(number of) months
20216,箇条,かじょう,"items, errors, articles"
20217,三箇日,さんがにち,first three days of the New Year (January 1st to 3rd)
20218,信仰箇条,しんこうかじょう,articles of faith
20219,且つ,かつ,"yet, moreover, and"
20220,苟且,"かりそめ, こうしょ","temporary, transient; trifling, slight, negligent"
20222,且つ又,かつまた,"besides, furthermore, moreover"
20223,且又,かつまた,"besides, furthermore, moreover"
20224,且つ飲み且つ歌う,かつのみかつうたう,"to drink and sing at the same time, to drink as well as sing"
20225,斤,きん,unit of weight ~600g; pound (unit of mass: 453.6g); loaf (of bread)
20226,一斤,いっきん,1 kin (~0.6kg); 1 loaf of bread
20227,斤量,きんりょう,weight
20228,斤目,きんめ,weight
20229,斧斤,ふきん,axe
20230,虞,おそれ,"fear, horror, anxiety, concern, uneasiness"
20231,虞美人草,ぐびじんそう,"field poppy, Papaver rhoeas"
20232,不虞,ふぐ,emergency
20233,危虞,"きぐ, きく","fear, misgivings"
20234,失敗の虞,しっぱいのおそれ,risk of failure
20235,憂虞,ゆうぐ,"anxiety, fear"
20236,開墾,かいこん,cultivating new land
20237,開墾地,かいこんち,cultivated land
20238,未開墾,みかいこん,uncultivated
20239,未開墾地,みかいこんち,"virgin soil, uncultivated land"
20240,未墾,みこん,"uncultivated, wild"
20241,未墾地,みこんち,uncultivated land
20242,墾田,こんでん,new rice field
20243,璽,じ,emperor's seal
20244,印璽,いんじ,imperial seal
20245,玉璽,ぎょくじ,sovereign's seal
20246,剣璽,けんじ,sacred sword and jewels
20247,御璽,ぎょじ,"imperial seal, privy seal"
20248,国璽,こくじ,the seal of state
20249,璽書,じしょ,document with the emperor's seal
20250,御名御璽,ぎょめいぎょじ,the imperial or privy seal
20251,国璽書,こくじしょ,(Britain's) Lord Privy Seal
20252,神璽,しんじ,Imperial regalia (esp. the jewel Yasakani no Magatama); emperor's seal
20253,勺,"しゃく, せき","18 ml (one-tenth of a go); 0.033 meters square (one-hundredth of a tsubo); dip, ladle"
20254,一勺,いっしゃく,one shaku
20256,男爵,だんしゃく,baron; Irish cobbler (variety of potato)
20257,公爵,こうしゃく,"prince, duke"
20258,爵,"しゃく, さく","jue (ancient 3-legged Chinese wine pitcher, usu. made of bronze); peerage (hereditary title bestowed by the emperor)"
20260,勲爵,くんしゃく,peerage and order of merit
20262,公爵夫人,こうしゃくふじん,"princess, duchess"
20263,爵位,しゃくい,"peerage, court rank"
20264,授爵,じゅしゃく,elevation to peerage
20265,遵行,じゅんこう,obedience
20266,遵守,じゅんしゅ,"compliance, adherence (to a set of rules), (religious) observance"
20267,遵奉,じゅんぽう,"obeying, observing, following"
20268,遵法,じゅんぽう,law-abiding
20269,遵法者,じゅんぽうしゃ,law-abiding citizen
20270,遵奉者,じゅんぽうしゃ,conformist
20271,錘,おもり,weight; sinker (fishing)
20272,錘,"ぼうすい, つむ, つみ",spindle
20273,錘,すい,counter for spindles
20274,錘,いわ,weight (of a fishing net)
20275,休錘,きゅうすい,idle spindles
20276,錘状,すいじょう,spindle shaped
20278,錘形,つむがた,"spindle-shaped, fusiform"
20279,鉛錘,えんすい,plumb bob
